algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,sigma_dp_honest,sigma_dp_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,30,10.670475269260264,0.4948508202719192,5.163124177108208,0.6284386383620149,7.233614753527814,0.9999999811251958,1000.0,0.482495901244093,0.9009544390419593,133.47785186767578,0.0,8.143176966436943,0.0,1004.1760773793526,0.0,0.8369820874236303,0.0,133.47785186767578,0.0,1576.182966485081,713.8075673421224,0.7541773918881474,0.0,8.143176966436943,0.8360179333135133,0.7541773918881474,0.8369820874236303,46.16109043757121,347.27756009369284
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,31,11.430898324977667,0.5132462369588514,5.1943539773424465,0.685927990027132,7.489483056646405,0.9999999711910884,1000.0,0.5527715400070914,0.9035935085007728,130.56791779489228,0.0,8.297847758174857,0.0,894.8548687326071,0.0,0.8186213749844864,0.0,130.56791779489228,0.0,1289.5115985292377,405.0370447794596,0.7653739644270955,0.0,8.297847758174857,0.884411505936248,0.7653739644270955,0.8186213749844864,35.90617739359538,246.08508890146695
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,32,11.434036809893778,0.5101241555996239,5.198205043623845,0.6589009181855557,7.4200355920889605,0.9999999880790711,1000.0,0.5188862508094108,0.9024024024024024,130.67090878421314,0.0,8.47649525606745,0.0,958.6120968953154,0.0,0.8193805074771427,0.0,130.67090878421314,0.0,1369.9583347268301,647.8994089762369,0.7476750542856243,0.0,8.47649525606745,0.9434685809362118,0.7476750542856243,0.8193805074771427,39.745734755198164,291.5778461389918
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,33,12.13688969261374,0.5158170707213382,5.74475601091981,0.6625505641899084,7.660538779364692,0.9999999781449636,1000.0,0.5234357479255438,0.9023777305238739,127.98223156399197,0.0,8.65160622120083,0.0,881.7774843852718,0.0,0.8024190040447474,0.0,127.98223156399197,0.0,1574.2599631415474,446.7179412841797,0.7571642034583621,0.0,8.65160622120083,1.027124948966695,0.7571642034583621,0.8024190040447474,38.39466946919759,264.53324531558155
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,34,12.478301643993197,0.5157512370807429,5.868505638341109,0.6636308026914972,7.769966019166483,0.9999999771515529,1000.0,0.5241571827356667,0.9042415262085571,127.05523331100876,0.0,8.870032708940835,0.0,830.0206569921667,0.0,0.7961430700274286,0.0,127.05523331100876,0.0,1482.534354132575,736.7749059041341,0.7501688498399548,0.0,8.870032708940835,1.1277545736062222,0.7501688498399548,0.7961430700274286,39.175363604227705,255.92303590591803
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,35,12.478301643993197,0.5215304040970902,6.191979650159677,0.6687614176105225,8.059885993809766,0.9999999831120173,1000.0,0.531104921077066,0.9027421582166107,123.98294121110943,0.0,9.11208920785735,0.0,794.3693429902845,0.0,0.777120091140531,0.0,123.98294121110943,0.0,1707.0585107937666,493.60429229736326,0.7634114700723702,0.0,9.11208920785735,1.2505105421296177,0.7634114700723702,0.777120091140531,36.67828677495321,235.0009306346258
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,36,12.55373425276416,0.5363066538547476,5.748621000846227,0.7091305400823443,8.146565512075263,0.9999999811251958,1000.0,0.5841979249800479,0.9020332717190388,122.00542837886486,0.0,9.298621771934295,0.0,797.2318200170425,0.0,0.7650983593107319,0.0,122.00542837886486,0.0,1311.478167259087,475.19385655721027,0.765721787840633,0.0,9.298621771934295,1.3144523725801054,0.765721787840633,0.7650983593107319,29.993001143137615,195.98615575418964
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,37,13.062843243993344,0.533401652580748,6.472161236405372,0.6881823252848833,7.7345193982124325,0.9999999731779099,1000.0,0.5563716015977322,0.9018379281537177,122.8393785916842,0.0,9.51451249350058,0.0,863.2403338934869,0.0,0.7699248742931499,0.0,122.8393785916842,0.0,1410.0949798583983,224.93318761189778,0.7406096614324129,0.0,9.51451249350058,1.3623622570032348,0.7406096614324129,0.7699248742931499,33.26899836858114,233.79425709615268
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,38,13.107122039853282,0.5145054031784336,6.868478501091401,0.6119673051725214,8.190264411698813,0.9999999791383744,1000.0,0.46277248277814476,0.9031307550644567,118.4726158229784,0.0,9.85129148817112,0.0,870.0966797980712,0.0,0.7426021955730375,0.0,118.4726158229784,0.0,2469.37421075229,892.0033233642578,0.7683994122620287,0.0,9.85129148817112,1.4245458529103279,0.7683994122620287,0.7426021955730375,42.946323235829674,315.41004642680076
noise-game,scale,mnist,42,300,60,1.1,1.0,0.3,iid,1.0,20,39,13.107122039853282,0.5247887377316753,7.262026706337929,0.6744186046511628,7.9521413588005565,0.9999999751647314,1000.0,0.5381371249548138,0.9031344792719919,120.18035169960795,0.0,10.091784916016634,0.0,659.406508035772,0.0,0.752925807424386,0.0,120.18035169960795,0.0,1646.0318683126698,355.5214111328125,0.7335183809416882,0.0,10.091784916016634,1.4761874263406913,0.7335183809416882,0.752925807424386,34.55185111363729,189.57937106028444
