algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,krum_score_honest,krum_score_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_dp_honest,sigma_dp_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,37,3.1814561926777,0.722536229590575,1.4556394542256992,0.8802492211838007,8.077207824458247,0.9999999811251958,1000.0,0.8525223268163167,0.9098402885110768,0.7644774291826331,0.0,6424.594431680928,0.0,271.2702404519786,0.0,2.3918290489955307,0.0,1.6995002951742826,0.0,87.01503129109092,2.2778682708740234,271.2702404519786,0.0,1.6995002951742826,0.0,2.3918290489955307,0.41336952821740214,0.7644774291826331,1.6995002951742826,25.99673137664795,615.6902997027556
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,38,3.1814561926777,0.7138058142736554,1.6579898649205764,0.849679090192546,8.488439670924482,0.9999999701976776,1000.0,0.7953204047217538,0.9120135363790186,0.7321016852711809,0.0,5645.413545830788,0.0,275.34437824117725,0.0,2.4179303890325854,0.0,1.7265606432712364,0.0,228.62153831432605,2.5350870450337726,275.34437824117725,0.0,1.7265606432712364,0.0,2.4179303890325854,0.4192041979305771,0.7321016852711809,1.7265606432712364,33.270779037475585,682.1541367878872
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,39,3.1814561926777,0.7053703954753776,1.8854660660028457,0.8621997471554993,6.615389096240203,0.9999999741713206,1000.0,0.8182809773123909,0.9111003157639057,0.6857649299005667,0.0,5963.59528654913,0.0,282.72207196553546,0.0,2.447694803602537,0.0,1.771732914942982,0.0,53.52053124209245,3.8161050001780192,282.72207196553546,0.0,1.771732914942982,0.0,2.447694803602537,0.39039097439420106,0.6857649299005667,1.771732914942982,28.27220719655355,596.359528654913
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,40,3.1814561926777,0.7046533167362213,1.7366801074395577,0.8675089834241336,8.010346402292667,0.9999999751647314,1000.0,0.8273269953570639,0.9117933723196882,0.7258412669534269,0.0,5120.1393389829755,0.0,271.28241961935294,0.0,2.4692079079928684,0.0,1.7005053285676177,0.0,67.52335887888204,2.3819481412569683,271.28241961935294,0.0,1.7005053285676177,0.0,2.4692079079928684,0.39546760034238254,0.7258412669534269,1.7005053285676177,25.997898546854653,490.68001998586846
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,41,3.3168457967804077,0.702454566086332,2.116352491080761,0.8551418232753589,9.52205418263163,0.9999999870856603,1000.0,0.8089664310954063,0.906907650408517,0.7268696187862328,0.0,4849.203741155073,0.0,268.6550941467285,0.0,2.4956031514663994,0.0,1.682109351492724,0.0,204.99417850800924,2.8810046116511026,268.6550941467285,0.0,1.682109351492724,0.0,2.4956031514663994,0.409124648939635,0.7268696187862328,1.682109351492724,31.343094317118325,565.740436468092
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,42,3.3168457967804077,0.6927424810516337,2.1691906438519557,0.850114291934255,6.764132010440032,0.9999999831120173,1000.0,0.7979158152840212,0.9096203121360354,0.6222575676317016,0.0,5732.0851721498575,0.0,287.4893048604329,0.0,2.5168720564508296,0.0,1.8020863330150683,0.0,13.323596585541964,11.513556595643362,287.4893048604329,0.0,1.8020863330150683,0.0,2.5168720564508296,0.4108070310565466,0.6222575676317016,1.8020863330150683,28.748930486043296,573.2085172149857
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,43,3.3168457967804077,0.6903591498111685,2.428190789744258,0.8487152897799286,7.672407120466232,0.9999999711910884,1000.0,0.7992621527777778,0.9046917219356424,0.7140982198928084,0.0,5768.192474840508,0.0,265.4943073817662,0.0,2.569573975471075,0.0,1.665120009801226,0.0,131.4322784415313,7.61243566274643,265.4943073817662,0.0,1.665120009801226,0.0,2.569573975471075,0.3367614023953749,0.7140982198928084,1.665120009801226,30.974335861206054,672.9557887313927
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,44,3.618172351339471,0.7185633162346979,1.6461049400269985,0.8995721117543417,9.185790956020355,0.9999999850988388,1000.0,0.8859692612791275,0.91359918200409,0.743054423481226,0.0,5060.018604704244,0.0,257.10015392303467,0.0,2.5880952699388273,0.0,1.6113125696525945,0.0,6.7040320376399904,1.6263600985209148,257.10015392303467,0.0,1.6113125696525945,0.0,2.5880952699388273,0.3408429413441321,0.743054423481226,1.6113125696525945,17.140010261535643,337.33457364694965
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,45,3.703414075628705,0.6835595656186342,2.7451845669498045,0.8260455267337217,8.411124040098752,0.9999999751647314,1000.0,0.7568878540939077,0.9091120950827313,0.7151123881340027,0.0,5522.629198448253,0.0,260.34272048052617,0.0,2.627545975389362,0.0,1.630616760518964,0.0,263.2444220570957,32.90402115980784,260.34272048052617,0.0,1.630616760518964,0.0,2.627545975389362,0.34799788127339304,0.7151123881340027,1.630616760518964,36.88188540140788,782.3724697801694
noise-game,scale,mnist,42,300,60,1.1,1.0,0.1,iid,1.0,20,46,3.784828289190524,0.7022966487022738,1.924401690562566,0.8709529276693455,9.467909096181392,0.999999980131785,1000.0,0.8325285338015803,0.9130958112662494,0.7071669731289149,0.0,4860.3966906044825,0.0,259.1269340515137,0.0,2.6488629502034544,0.0,1.6242520585291733,0.0,18.4918330937624,2.54948791662852,259.1269340515137,0.0,1.6242520585291733,0.0,2.6488629502034544,0.3532008321644805,0.7071669731289149,1.6242520585291733,21.593911170959473,405.0330575503734
