algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,trust_honest,trust_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,noise_norm_honest,noise_norm_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,34,3.360253110853019,0.8735825771093368,0.44210953515768053,0.0,1.3920754539339166,0.0,1000.0,0.0,0.0,2.0991501393164436,0.0,0.7828199479140734,0.0,0.9273138091952134,0.0,0.9273138091952134,0.0,147.85428579230057,0.0,4097.529931461165,0.0,147.85430607042815,0.0,34.28663349151611,0.0,2.0991501393164436,1.0543079509070188,0.7828199479140734,0.9273138091952134,11.23692726135254,311.41227479104856
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,35,3.3905161310225242,0.874182777762413,0.43884263092279435,0.0,1.462780335370232,0.0,1000.0,0.0,0.0,2.125486845983858,0.0,0.8007958250887254,0.0,0.9063390180837693,0.0,0.9063390180837693,0.0,144.6163859647863,0.0,3982.6670876953103,0.0,144.61645732206458,0.0,14.543615902171416,0.0,2.125486845983858,1.0491903675074092,0.8007958250887254,0.9063390180837693,4.916959548950195,135.41068098164058
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,36,3.423691953347183,0.8745365778207779,0.4360869951248169,0.0,1.2604679786241972,0.0,1000.0,0.0,0.0,2.1749008905568497,0.0,0.809083410180532,0.0,0.8929035186069336,0.0,0.8929035186069336,0.0,142.50728167020358,0.0,4327.404273512557,0.0,142.50735326913687,0.0,21.644559658490696,0.0,2.1749008905568497,1.036018691343745,0.809083410180532,0.8929035186069336,7.4103823699951175,225.02502222265295
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,37,3.4598665789246925,0.8750927780866623,0.43338896429538726,0.0,1.3248809307813645,0.0,1000.0,0.0,0.0,2.216517580720137,0.0,0.8095127299427987,0.0,0.8854694646866108,0.0,0.8854694646866108,0.0,141.16543350219726,0.0,4278.81348262018,0.0,141.16539039611817,0.0,16.31399174928665,0.0,2.216517580720137,1.0237986956029226,0.8095127299427987,0.8854694646866108,5.646615615844727,171.15253930480722
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,38,3.4990923174321127,0.8749501789808274,0.43191605907678604,0.0,1.4666839878301363,0.0,1000.0,0.0,0.0,2.2447909746450185,0.0,0.7293106776637,0.0,0.9375919243685767,0.0,0.9375919243685767,0.0,149.7130149635109,0.0,4477.166640712572,0.0,149.71302341770482,0.0,34.4949718166042,0.0,2.2447909746450185,1.0248722989632666,0.7293106776637,0.9375919243685767,11.078763732910156,331.31033141273025
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,39,3.5435593428451133,0.8754333781003952,0.4292554425597191,0.0,1.213440197965373,0.0,1000.0,0.0,0.0,2.273778280470442,0.0,0.7526386108087457,0.0,0.9130454959132053,0.0,0.9130454959132053,0.0,145.64962138300356,0.0,4387.129859127136,0.0,145.6496349832286,0.0,14.232995986938477,0.0,2.273778280470442,1.0185563038401164,0.7526386108087457,0.9130454959132053,6.699883209228515,201.80797351984828
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,40,3.5867320805399947,0.8756445790529251,0.4276140016913414,0.0,1.4761665642261506,0.0,1000.0,0.0,0.0,2.308484062011968,0.0,0.7715607325236002,0.0,0.8920299911814981,0.0,0.8920299911814981,0.0,142.3131830851237,0.0,4527.917018968552,0.0,142.3132074991862,0.0,28.373328749338786,0.0,2.308484062011968,1.0126372514374793,0.7715607325236002,0.8920299911814981,8.538792449951172,271.6750211381131
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,41,3.6350805781423463,0.8754379801750183,0.42691114366054533,0.0,1.612625871155713,0.0,1000.0,0.0,0.0,2.354561759843389,0.0,0.793839646352304,0.0,0.8688733146024685,0.0,0.8688733146024685,0.0,138.72529581430797,0.0,4403.047948437176,0.0,138.72526364713102,0.0,44.42040185670595,0.0,2.354561759843389,1.005667215151851,0.793839646352304,0.8688733146024685,10.265669509887696,325.8255481843511
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,42,3.6863561223750456,0.8760015782117844,0.4244444407224655,0.0,1.185984106167503,0.0,1000.0,0.0,0.0,2.3938242040787743,0.0,0.7870062071344127,0.0,0.8668333915932053,0.0,0.8668333915932053,0.0,138.15662350861922,0.0,4511.748648512035,0.0,138.15659166418988,0.0,13.182617353356402,0.0,2.3938242040787743,0.9926727040888553,0.7870062071344127,0.8668333915932053,6.355203216552734,207.54043783155365
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,43,3.7404610307236617,0.8761025787591934,0.42320431023836136,0.0,1.4984884344298264,0.0,1000.0,0.0,0.0,2.436280359357031,0.0,0.8041911412929666,0.0,0.8477434923552859,0.0,0.8477434923552859,0.0,135.30134608827788,0.0,4248.403511384373,0.0,135.30136029473667,0.0,28.565122078204976,0.0,2.436280359357031,0.981575674896574,0.8041911412929666,0.8477434923552859,7.847478897094726,246.4074036602936
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,44,3.7972818085850433,0.875984577536583,0.4224952076077461,0.0,1.483684834205743,0.0,1000.0,0.0,0.0,2.4969488948022063,0.0,0.8082490978818951,0.0,0.8381347198070352,0.0,0.8381347198070352,0.0,133.72243915904653,0.0,4370.131705003355,0.0,133.7224726821437,0.0,36.503947142398715,0.0,2.4969488948022063,0.9616017561768329,0.8082490978818951,0.8381347198070352,8.825683197021485,288.4286925302215
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,45,3.820847162571229,0.8760963785648346,0.42139374566078186,0.0,1.6640164167792708,0.0,1000.0,0.0,0.0,2.5152805086787766,0.0,0.7427347236209445,0.0,0.8771642189208188,0.0,0.8771642189208188,0.0,139.93434708206743,0.0,4510.163719584178,0.0,139.9343436912254,0.0,35.72798262702094,0.0,2.5152805086787766,0.967858074065394,0.7427347236209445,0.8771642189208188,7.556454559326172,243.5488408575456
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,46,3.918573881090909,0.8763175755739212,0.4199470992088318,0.0,1.7174569776183681,0.0,1000.0,0.0,0.0,2.5420332728272292,0.0,0.8002967552134865,0.0,0.8303352286444667,0.0,0.8303352286444667,0.0,132.34107529489617,0.0,4470.4944573848425,0.0,132.34106485467208,0.0,22.534173513713636,0.0,2.5420332728272292,0.9690354622584578,0.8002967552134865,0.8303352286444667,5.028960464477539,169.87878938062403
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,47,3.982791248674869,0.8759965784549714,0.4201953014731407,0.0,1.6888061274181714,0.0,1000.0,0.0,0.0,2.594645317317146,0.0,0.7756099231315382,0.0,0.8406690833317282,0.0,0.8406690833317282,0.0,134.11985223943537,0.0,4318.6967512441715,0.0,134.11981987230706,0.0,39.37848276080507,0.0,2.594645317317146,0.9567141960360459,0.7756099231315382,0.8406690833317282,8.851908111572266,285.0339855821153
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,48,3.982791248674869,0.87632297706604,0.41859922075271605,0.0,1.709478607773781,0.0,1000.0,0.0,0.0,2.6075879743203267,0.0,0.7273661375045777,0.0,0.8668309190385266,0.0,0.8668309190385266,0.0,138.27493896484376,0.0,4816.233188907957,0.0,138.27493286132812,0.0,23.87263650894165,0.0,2.6075879743203267,0.9612119840610913,0.7273661375045777,0.8668309190385266,5.530997314453125,192.64932755631827
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,49,4.1301999426503935,0.8762095774412155,0.4183878707885742,0.0,1.8724960847334429,0.0,1000.0,0.0,0.0,2.629029131637696,0.0,0.788391110571948,0.0,0.8186891110978,0.0,0.8186891110978,0.0,130.58064651489258,0.0,4470.698744702445,0.0,130.58069263805044,0.0,32.4474702314897,0.0,2.629029131637696,0.9642166061267541,0.788391110571948,0.8186891110978,5.745550476074219,196.7107447669076
