algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,20,28.102282022516583,0.3937366568793853,23.634296386440596,0.5127220355256841,17.220514618117235,0.5920473366975785,1000.0,0.3591364584033896,0.8958228485153498,0.5664908265298311,0.0,222.6951691442085,0.0,0.8855401642363647,0.0,18699.01228700835,8314.486694335938,90.37196521101326,0.0,90.37196521101326,0.0,21.3202647877066,0.0,21.3202647877066,2.622705909062775,0.8855401642363647,0.5664908265298311,43.67978318532308,107.63599841970078
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,21,29.59479881686842,0.40115998964756727,25.881173567970595,0.5219281663516068,17.579675386691914,0.9886671791474024,1000.0,0.368084255432609,0.8967197141929197,0.5543790119485678,0.0,198.89141976545125,0.0,0.890611348994847,0.0,18818.326424434268,9865.688997395833,88.4487445436675,0.0,88.4487445436675,0.0,22.186564156603268,0.0,22.186564156603268,2.8201367598480096,0.890611348994847,0.5543790119485678,42.75022652943929,96.13085288663476
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,22,29.73799317104102,0.408239989168942,28.890310873587925,0.5193115598319555,17.555146866485853,0.9999999781449636,1000.0,0.3656488549618321,0.8957456755493222,0.5497762080955807,0.0,185.69203491486707,0.0,0.880493110969287,0.0,17505.5955964417,10793.865299479166,87.69417091177291,0.0,87.69417091177291,0.0,23.097182502141845,0.0,23.097182502141845,3.0693581280838624,0.880493110969287,0.5497762080955807,43.4816930770874,92.07230064528828
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,23,30.99870698187753,0.4170041561126709,30.814808341860772,0.555578598092078,17.434513618832543,0.999999984105428,1000.0,0.4020409694604937,0.898842476094615,0.5440495381214344,0.0,182.60527448602107,0.0,0.87248584599722,0.0,15640.109770275298,8287.319547526042,86.78035634358724,0.0,86.78036288306826,0.0,23.91879688140174,0.0,23.91879688140174,3.267831202243082,0.87248584599722,0.5440495381214344,37.966408761342365,79.88980758763422
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,24,32.15787225444852,0.41973623956243195,34.28622921506564,0.4803741439786204,17.789758150814144,0.9999999860922496,1000.0,0.3284229759049903,0.8940006216972335,0.5319584663465605,0.0,165.9280872061227,0.0,0.8777233776245409,0.0,21906.445260317272,10454.481705729168,84.92204622457956,0.0,84.92195216754011,0.0,25.033913805154786,0.0,25.033913805154786,3.5333240586882333,0.8777233776245409,0.5319584663465605,46.35323222478231,90.569080933342
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,25,33.61746022334678,0.42514415495097635,37.26229734023412,0.5141503107256226,17.47835077333056,0.9999999831120173,1000.0,0.36034342294917593,0.8970358814352574,0.5306723945355427,0.0,160.2187543290553,0.0,0.859823513129526,0.0,18623.99880552686,9828.407584635417,84.57572363230808,0.0,84.57571007594589,0.0,26.018643936753794,0.0,26.018643936753794,3.579783763083825,0.859823513129526,0.5306723945355427,42.64025382995605,80.77695530756537
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,26,35.154187621512406,0.43059998862445353,39.468256684144336,0.5136563876651982,17.681211643531675,0.9999999721844991,1000.0,0.3597433049487844,0.8977517708654142,0.5172733679668157,0.0,161.05764448082982,0.0,0.8680259956688178,0.0,18639.782026447232,11082.378873697917,82.52186077930888,0.0,82.52182313262439,0.0,27.064612422318405,0.0,27.064612422318405,3.535037551780607,0.8680259956688178,0.5172733679668157,41.94859342575073,81.87096927775517
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,27,35.154187621512406,0.4394345710674922,41.308373578389485,0.5513826705293652,17.597220547993977,0.999999984105428,1000.0,0.3978110511514783,0.8980782429649966,0.5115204667680286,0.0,149.43401361067217,0.0,0.8592946086611066,0.0,17263.659798177083,7540.164436848959,81.65471685500373,0.0,81.65460938953218,0.0,27.99914468802431,0.0,27.99914468802431,3.453198818812438,0.8592946086611066,0.5115204667680286,35.72389160792033,65.37738095466906
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,28,36.71225366429173,0.44578582122921945,43.75259503920873,0.5030540614458929,17.375504485831772,0.9999999751647314,1000.0,0.34990488268864933,0.8946173800259404,0.5097006205429709,0.0,143.1609273317231,0.0,0.841375949461598,0.0,19719.327685143337,8118.635587565104,81.32444170486829,0.0,81.32430771756763,0.0,28.944051866935524,0.0,28.944051866935524,3.4698885771795767,0.841375949461598,0.5097006205429709,41.00100514094035,72.17696752974372
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,29,39.03669278709306,0.4492974872390429,47.00516705711683,0.5155890738526625,17.547661036002534,0.9999999721844991,1000.0,0.36179412713778636,0.8968165093585027,0.4979566514254233,0.0,138.75257508870226,0.0,0.8460118840722477,0.0,19048.99222853204,9443.442561848959,79.37737286992434,0.0,79.37738447429753,0.0,29.88885706166518,0.0,29.88885706166518,3.4808499297353794,0.8460118840722477,0.4979566514254233,39.35795313517253,68.79815181481489
