algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,n_dp_norm_honest,n_dp_norm_attacker,krum_score_honest,krum_score_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,eps_n_honest,eps_n_attacker,sigma_n_honest,sigma_n_attacker,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,34,1.2958617738371911,0.8455377782583237,0.531388519346714,0.0,4.714619824760838,0.0,1000.0,0.0,0.0,294.36442686382094,0.0,392.5508350573088,0.0,1.846111858779809,0.0,6844.668580466959,0.0,0.7896840827342559,0.0,1.846111858779809,0.0,294.36442686382094,0.0,0.7031547960482145,0.0,0.7896840827342559,0.40150257921043797,0.7031547960482145,1.846111858779809,22.37169644165039,520.1948121154888
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,35,1.3122597155099043,0.8467109776735305,0.5287872163057328,0.0,5.352660599876852,0.0,1000.0,0.0,0.0,279.6729835061466,0.0,189.78956873276655,0.0,1.7526256896618977,0.0,6377.119504359503,0.0,0.7995031279014982,0.0,1.7526256896618977,0.0,279.6729835061466,0.0,0.756452879484962,0.0,0.7995031279014982,0.3995678976777105,0.756452879484962,1.7526256896618977,9.508881439208984,216.8220631482231
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,36,1.3323330996763554,0.8468283799886703,0.5249476899504661,0.0,4.329512431071355,0.0,1000.0,0.0,0.0,278.82342294546277,0.0,252.47479130671576,0.0,1.7469752996208443,0.0,7682.849473889341,0.0,0.8179142854002875,0.0,1.7469752996208443,0.0,278.82342294546277,0.0,0.7480044582715402,0.0,0.8179142854002875,0.3947176494132759,0.7480044582715402,1.7469752996208443,14.498817993164062,399.50817264224577
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,37,1.3565194069844493,0.8479113777875901,0.5209413563013077,0.0,4.585000431537628,0.0,1000.0,0.0,0.0,275.0362892150879,0.0,184.537193107605,0.0,1.725078550595152,0.0,7318.770130708731,0.0,0.8336943575196712,0.0,1.725078550595152,0.0,275.0362892150879,0.0,0.7512720346450805,0.0,0.8336943575196712,0.39064855006049165,0.7512720346450805,1.725078550595152,11.001451568603516,292.75080522834924
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,38,1.3851189233771821,0.8445461781024933,0.5337526236176491,0.0,5.117252604381458,0.0,1000.0,0.0,0.0,292.60815800847234,0.0,415.26559200802365,0.0,1.8324416664947076,0.0,7236.088142379027,0.0,0.8436036879946153,0.0,1.8324416664947076,0.0,292.60815800847234,0.0,0.6602243950238099,0.0,0.8436036879946153,0.3900780081755367,0.6602243950238099,1.8324416664947076,21.653003692626953,535.470522536048
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,39,1.4182486785159347,0.8465763785839081,0.5254202899336815,0.0,4.085359143174213,0.0,1000.0,0.0,0.0,286.70544698963994,0.0,161.58896272078803,0.0,1.7974111859443926,0.0,7200.269954504957,0.0,0.8541274230494122,0.0,1.7974111859443926,0.0,286.70544698963994,0.0,0.6726290998251542,0.0,0.8541274230494122,0.3878399585848994,0.6726290998251542,1.7974111859443926,13.188450561523437,331.2124179072281
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,40,1.4558303947526419,0.8447809791564942,0.5326818425059319,0.0,5.147251518567403,0.0,1000.0,0.0,0.0,277.16856282552084,0.0,342.09367345174155,0.0,1.737241259547937,0.0,7569.843250801724,0.0,0.8677399712214923,0.0,1.737241259547937,0.0,277.16856282552084,0.0,0.7041702916224798,0.0,0.8677399712214923,0.3863561699647617,0.7041702916224798,1.737241259547937,16.63011376953125,454.1905950481034
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,41,1.4976169812564155,0.8406745803952217,0.5496399466991424,0.0,5.742531119166194,0.0,1000.0,0.0,0.0,267.8971726701066,0.0,573.0260273701435,0.0,1.677978951638736,0.0,7043.3154786563055,0.0,0.885608184856936,0.0,1.677978951638736,0.0,267.8971726701066,0.0,0.7357957363128662,0.0,0.885608184856936,0.38491331609710683,0.7357957363128662,1.677978951638736,19.82439077758789,521.2053454205666
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,42,1.543246927442965,0.8435967792272567,0.5356054788827896,0.0,4.054700143959211,0.0,1000.0,0.0,0.0,268.67561473017156,0.0,148.44632654604703,0.0,1.685738724500864,0.0,7527.593696906673,0.0,0.9012102447179998,0.0,1.685738724500864,0.0,268.67561473017156,0.0,0.7171852342460466,0.0,0.9012102447179998,0.3818555695269997,0.7171852342460466,1.685738724500864,12.35907827758789,346.2693100577069
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,43,1.5923074127659231,0.84179297798872,0.5462510814070701,0.0,5.031731564423134,0.0,1000.0,0.0,0.0,266.1564020617255,0.0,328.88608314251076,0.0,1.6676780041494745,0.0,6386.341559382915,0.0,0.917457737781968,0.0,1.6676780041494745,0.0,266.1564020617255,0.0,0.7181747206326189,0.0,0.917457737781968,0.3794851713441671,0.7181747206326189,1.6676780041494745,15.437071319580077,370.40781044420913
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,44,1.6443887756624478,0.839951179265976,0.558817160487175,0.0,5.371425462491585,0.0,1000.0,0.0,0.0,253.929443359375,0.0,481.0556113503196,0.0,1.5915483421594423,0.0,6948.999790335585,0.0,0.9436406114982773,0.0,1.5915483421594423,0.0,253.929443359375,0.0,0.7643957002596422,0.0,0.9436406114982773,0.3766154851971245,0.7643957002596422,1.5915483421594423,16.75934326171875,458.63398616214863
