algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,eps_n_honest,eps_n_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,23,2.5594243578226585,0.84635677754879,0.5474115644693375,0.0,4.529104471206665,0.0,1000.0,0.0,0.0,1.5574652892997036,0.0,5717.505682030879,0.0,289.72474452427457,0.0,1.816707734635962,0.0,1.816707734635962,0.0,173.16770499093192,0.0,289.72474452427457,0.0,0.8567458135741097,0.0,1.5574652892997036,1.0668963181384863,0.8567458135741097,1.816707734635962,12.168439270019531,240.13523864529688
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,24,2.5594243578226585,0.8482643791437149,0.5385438044071198,0.0,4.649777090549469,0.0,1000.0,0.0,0.0,1.5906514083336272,0.0,6225.979769512978,0.0,294.13195953369143,0.0,1.8432576666226599,0.0,1.8432576666226599,0.0,153.76459579467775,0.0,294.13195953369143,0.0,0.8283801287412643,0.0,1.5906514083336272,1.060085714902262,0.8283801287412643,1.8432576666226599,11.765278381347656,249.03919078051914
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,25,2.575636697852938,0.8504179781675338,0.5281720801591873,0.0,3.8686311872381913,0.0,1000.0,0.0,0.0,1.6388042235372569,0.0,6179.340470555838,0.0,272.282550209447,0.0,1.7052286037303943,0.0,1.7052286037303943,0.0,141.25277428877982,0.0,272.282550209447,0.0,0.9052215657736126,0.0,1.6388042235372569,1.0468368254056937,0.9052215657736126,1.7052286037303943,10.346736907958984,234.81493788112186
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,26,2.5915397274623326,0.8512397780418396,0.522295471072197,0.0,4.193458015268499,0.0,1000.0,0.0,0.0,1.6735081475764182,0.0,6656.5474507378785,0.0,303.76279241388494,0.0,1.9005658752365564,0.0,1.9005658752365564,0.0,172.4177017211914,0.0,303.76279241388494,0.0,0.7675494673577222,0.0,1.6735081475764182,1.0380857100721401,0.7675494673577222,1.9005658752365564,13.365562866210938,292.88808783246657
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,27,2.5915397274623326,0.8503883781433106,0.5211579496264458,0.0,4.686508820607112,0.0,1000.0,0.0,0.0,1.7148370410603226,0.0,6647.567160672056,0.0,289.3049515944261,0.0,1.8124127605569211,0.0,1.8124127605569211,0.0,331.7881072117732,0.0,289.3049515944261,0.0,0.812901856807562,0.0,1.7148370410603226,1.0269902441298517,0.812901856807562,1.8124127605569211,15.043857482910155,345.6734923549469
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,28,2.647908897025868,0.8512669796943665,0.5183997641205788,0.0,4.136276315759729,0.0,1000.0,0.0,0.0,1.7555704272174526,0.0,6775.314793834523,0.0,288.77117750379773,0.0,1.8105649986004713,0.0,1.8105649986004713,0.0,213.25461889196325,0.0,288.77117750379773,0.0,0.8021937365885135,0.0,1.7555704272174526,1.0142493735153735,0.8021937365885135,1.8105649986004713,15.593643585205077,365.86699886706424
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,29,2.659616479700203,0.8524673784971237,0.5107854917645455,0.0,4.140908604576474,0.0,1000.0,0.0,0.0,1.7811825858580788,0.0,7240.59718743113,0.0,284.28710501534596,0.0,1.7860898094884743,0.0,1.7860898094884743,0.0,160.65958549862816,0.0,284.28710501534596,0.0,0.8065102412587121,0.0,1.7811825858580788,1.0075261947335503,0.8065102412587121,1.7860898094884743,11.94005841064453,304.10508187210746
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,30,2.730057891137812,0.8507007789611817,0.5145462957024575,0.0,4.603814356029034,0.0,1000.0,0.0,0.0,1.8195422696749852,0.0,7036.02027357371,0.0,294.19169998168945,0.0,1.8437558710256918,0.0,1.8437558710256918,0.0,316.21117877960205,0.0,294.19169998168945,0.0,0.7555949492380023,0.0,1.8195422696749852,0.9962715773723543,0.7555949492380023,1.8437558710256918,18.828268798828127,450.30529750871744
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,31,2.7735637637603787,0.8512897799015046,0.5124002398848534,0.0,5.368889053662618,0.0,1000.0,0.0,0.0,1.834576700515516,0.0,6531.932992846317,0.0,289.9393793741862,0.0,1.8186209363920216,0.0,1.8186209363920216,0.0,250.62239371405707,0.0,289.9393793741862,0.0,0.76022327111827,0.0,1.834576700515516,0.993432080048295,0.76022327111827,1.8186209363920216,10.437817657470703,235.14958774246745
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,32,2.858659530319746,0.8501185795068741,0.5160455734729766,0.0,4.97528779009978,0.0,1000.0,0.0,0.0,1.8777504497698365,0.0,6873.083379924113,0.0,275.3052552541097,0.0,1.7268027750821346,0.0,1.7268027750821346,0.0,264.8337361017863,0.0,275.3052552541097,0.0,0.8109859774510065,0.0,1.8777504497698365,0.9771785986885743,0.8109859774510065,1.7268027750821346,13.214652252197265,329.90800223635745
