algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,73,0.0,0.8848721777200699,0.38638282829523085,0.0,0.02125439338758588,0.0,,0.0,0.0,0.005751767821493559,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,74,0.0,0.8849605779647827,0.38622393691539764,0.0,0.021084912512451412,0.0,,0.0,0.0,0.004442258068593219,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,75,0.0,0.8850269771814346,0.38600880616903305,0.0,0.020868711687624455,0.0,,0.0,0.0,0.004594769597483369,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,76,0.0,0.8850303783416748,0.385861121237278,0.0,0.02072620375454426,0.0,,0.0,0.0,0.003398644926381253,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,77,0.0,0.8850305773019791,0.3857695115208626,0.0,0.020488407265394925,0.0,,0.0,0.0,0.004139449466795971,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,78,0.0,0.8850845776796341,0.3856774513721466,0.0,0.020283288471400738,0.0,,0.0,0.0,0.0028073772310132257,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,79,0.0,0.8850863770246505,0.3855624402165413,0.0,0.020157144837081434,0.0,,0.0,0.0,0.003517137157773091,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,80,0.0,0.8851485780477524,0.3854754909873009,0.0,0.019967908792197703,0.0,,0.0,0.0,0.004546300466505012,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,81,0.0,0.8851395769119262,0.38542069375514987,0.0,0.01977262822911143,0.0,,0.0,0.0,0.003682954804971814,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,82,0.0,0.8852109777927398,0.3853820693492889,0.0,0.01963274049386382,0.0,,0.0,0.0,0.0011228392593858932,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,83,0.0,0.8852135778665543,0.385346938431263,0.0,0.019420557655394077,0.0,,0.0,0.0,0.00297187085961923,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,84,0.0,0.8852421778440476,0.3853211785554886,0.0,0.019306040924042464,0.0,,0.0,0.0,0.005200610277825035,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,85,0.0,0.8852479773759842,0.3853973291516304,0.0,0.01915474785491824,0.0,,0.0,0.0,0.0031366621842607856,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,86,0.0,0.885309977889061,0.38535783684253694,0.0,0.01898276790231466,0.0,,0.0,0.0,0.0032902505127308163,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,87,0.0,0.8852557785511017,0.3854072237610817,0.0,0.018858794048428537,0.0,,0.0,0.0,0.001911542123707477,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,88,0.0,0.8852921786308289,0.3854233510494232,0.0,0.01868991001881659,0.0,,0.0,0.0,0.0031379556263952204,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,89,0.0,0.8853251765966416,0.3855109840631485,0.0,0.01854397575184703,0.0,,0.0,0.0,0.0021765558760509724,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,90,0.0,0.8852883789539338,0.3856019981503487,0.0,0.01841989298723638,0.0,,0.0,0.0,0.005413625695693649,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,91,0.0,0.8852957762479782,0.38565289479494097,0.0,0.018189673019573093,0.0,,0.0,0.0,0.003099806880092491,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,92,0.0,0.8853405772447586,0.38571268993616104,0.0,0.018058956993743776,0.0,,0.0,0.0,0.002827554810210131,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,93,0.0,0.8853629786968231,0.38576653373241426,0.0,0.017973708527162673,0.0,,0.0,0.0,0.0033994697553750416,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,94,0.0,0.8853499774932861,0.3859159972667694,0.0,0.017784737763926386,0.0,,0.0,0.0,0.0022593451256398113,0.0
krum,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,0,95,0.0,0.8853329772949219,0.3860501891374588,0.0,0.017594731220975518,0.0,,0.0,0.0,0.0035325842347509904,0.0
