algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,trust_honest,trust_attacker,sigma_dp_honest,sigma_dp_attacker,eps_n_honest,eps_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,25,14.912222275718248,0.4331749893724918,629.0439573605855,0.5140838773137798,67.30578383138356,0.9999999920527141,1000.0,0.36030333416896465,0.8968798751950078,291881.9510588843,158301.86145833333,129.13698823786964,0.0,0.872967044676631,0.0,0.8102796185621666,0.0,12.241538014175607,0.0,129.13698823786964,0.0,129.93993193965017,0.0,12.241538014175607,1.4235072943234488,0.872967044676631,0.8102796185621666,65.10656490325928,65.51138235290696
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,26,15.399779353652482,0.4381329064567884,665.4182315826416,0.5137444933920705,67.71123685993132,0.9999999811251958,1000.0,0.359805010489942,0.8979057591623036,288266.5090932377,169344.60104166667,126.99900942943135,0.0,0.8779086011355041,0.0,0.7960642695682153,0.0,12.61856815338496,0.0,126.99900942943135,0.0,128.66896809066796,0.0,12.61856815338496,1.372305540976388,0.8779086011355041,0.7960642695682153,64.55782979329427,65.40672544608955
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,27,15.528299962074714,0.44746415403982004,686.2367075920105,0.5512300479376284,66.9987080891927,0.999999984105428,1000.0,0.3977194982896237,0.8977350720658888,249260.78772321428,113877.48815104166,126.35525272914342,0.0,0.869167080947331,0.0,0.7915588235351734,0.0,12.923605898304203,0.0,126.35525272914342,0.0,126.35525479496265,0.0,12.923605898304203,1.3194460967206492,0.869167080947331,0.7915588235351734,55.28042306900024,55.28042397279616
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,28,16.231848376887427,0.45170123825470604,726.3294504165649,0.5030311317744656,67.14625136320257,0.9999999761581421,1000.0,0.349882696087756,0.8946173800259404,311256.85782541323,141080.68684895834,124.37139003532977,0.0,0.8712478073175288,0.0,0.7795176338287567,0.0,13.256168531554412,0.0,124.37139003532977,0.0,125.16336629099074,0.0,13.256168531554412,1.2858678572185076,0.8712478073175288,0.7795176338287567,62.703909142812094,63.10319717170783
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,29,16.995065403350377,0.45808832024534546,763.1759377161662,0.5155890738526625,66.1605266923664,0.999999980131785,1000.0,0.36179412713778636,0.8968165093585027,275169.3554359244,144084.47122395833,124.01084637040852,0.0,0.8580574708826402,0.0,0.7779675283146152,0.0,13.555833605292628,0.0,124.01084637040852,0.0,124.54718324336326,0.0,13.555833605292628,1.2620297119608619,0.8580574708826402,0.7779675283146152,61.48871132532756,61.754645024834296
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,30,17.798470777163182,0.4625137391189734,807.2197795232137,0.4992350841407445,66.71328086552657,0.9999999910593033,1000.0,0.345977146895983,0.8962465669819957,293528.078125,167594.03645833334,121.76989001176489,0.0,0.8651615789556127,0.0,0.7626568547349194,0.0,13.882699603481683,0.0,121.76989001176489,0.0,122.6019392432592,0.0,13.882699603481683,1.2528441396533174,0.8651615789556127,0.7626568547349194,64.43656679789225,64.87685951622467
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,31,17.798470777163182,0.46748582310974596,843.9608493169148,0.5198412698412698,66.36385640376756,0.9999999920527141,1000.0,0.3663404093046905,0.8947531822415399,263482.92791491596,157707.76302083334,120.41858910312172,0.0,0.8617847346458114,0.0,0.7544445385375749,0.0,14.174403379702603,0.0,120.41858910312172,0.0,120.53172948164728,0.0,14.174403379702603,1.2844936614502207,0.8617847346458114,0.7544445385375749,59.70755043029785,59.76364920131678
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,32,17.798470777163182,0.4722954043497642,878.5624219576517,0.5168343568970774,65.657751020838,0.9999999781449636,1000.0,0.36276368083155,0.8983949121744398,250053.1107197746,167119.03880208332,119.50145846507588,0.0,0.8532830349734573,0.0,0.7495909245385847,0.0,14.487008504765042,0.0,119.50145846507588,0.0,119.50146043437437,0.0,14.487008504765042,1.28093231877486,0.8532830349734573,0.7495909245385847,60.74657471974691,60.746575720806966
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,33,17.868085727020816,0.4758149888366461,924.8815336227417,0.4993641745231309,66.11397527879284,0.9999999890724818,1000.0,0.3463292987044584,0.8947203016970459,275161.32818800403,154199.32903645834,117.63673253213206,0.0,0.8565159685188725,0.0,0.7371139455716844,0.0,14.825602563046052,0.0,117.63673253213206,0.0,117.89037702163019,0.0,14.825602563046052,1.3103093069479699,0.8565159685188725,0.7371139455716844,60.778978474934895,60.91002812784226
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,34,18.803088901787337,0.4801658211896817,967.4635618845622,0.49944039038366833,66.1544050821444,0.9999999761581421,1000.0,0.34618010302240426,0.8962082262210797,292554.2340574187,141444.10950520833,115.58742758898231,0.0,0.8589509090756983,0.0,0.7252359991325914,0.0,15.177919533549721,0.0,115.58742758898231,0.0,115.74247531714188,0.0,15.177919533549721,1.3776967248584757,0.8589509090756983,0.7252359991325914,59.23855663935343,59.31801860003522
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,35,19.853527119828218,0.4848504029214382,1005.9216125488281,0.5146846637188737,66.46078840352722,0.9999999831120173,1000.0,0.3613017055479318,0.8943707538013588,277249.20987817796,142937.109375,113.75318714723748,0.0,0.862117159164558,0.0,0.7129783182962957,0.0,15.549844867425886,0.0,113.75318714723748,0.0,113.75318984849841,0.0,15.549844867425886,1.43988965535106,0.862117159164558,0.7129783182962957,55.928650347391766,55.928651675511716
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,36,20.637852571114966,0.4908562379578749,1031.3437023162842,0.5462555066079294,65.98296070990162,0.999999980131785,1000.0,0.39249171880750827,0.898096681825838,234627.6195969626,125142.00052083333,112.57147673134492,0.0,0.8565846486626384,0.0,0.70617755527659,0.0,15.898609223170688,0.0,112.57147673134492,0.0,112.57147877683637,0.0,15.898609223170688,1.5156472935816994,0.8565846486626384,0.70617755527659,50.188116709391274,50.18811762133955
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,37,21.399753496426012,0.4945595701535543,1065.075926844279,0.5296871150529687,65.58082893916539,0.9999999880790711,1000.0,0.3761371588523443,0.8950874271440467,265271.07177734375,120570.56809895833,111.6187447820391,0.0,0.8508348587368216,0.0,0.6994832961877743,0.0,16.27691064557858,0.0,111.6187447820391,0.0,111.61874670152903,0.0,16.27691064557858,1.6123276918055298,0.8508348587368216,0.6994832961877743,52.08874756495158,52.088748460713546
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,38,22.151045054730925,0.49521915540099143,1126.0998756408692,0.46555659494855006,65.1672534942627,0.9999999741713206,1000.0,0.3146686899342438,0.8944644140905823,301521.9267165493,192588.79244791667,110.58372427712024,0.0,0.8445442348298892,0.0,0.6930842935115215,0.0,16.779054303864154,0.0,110.58372427712024,0.0,110.58372649614232,0.0,16.779054303864154,1.7148054534639687,0.8445442348298892,0.6930842935115215,65.42870353062948,65.42870484355086
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,39,22.937927513733474,0.49925373767813047,1162.4029090881347,0.515664218648322,64.55705539250778,0.999999984105428,1000.0,0.3620520853730174,0.8956886807686097,253200.78012447033,131116.23190104167,109.59217924990897,0.0,0.8375728625362202,0.0,0.6870512719519382,0.0,17.213634961716892,0.0,109.59217924990897,0.0,109.59218154584445,0.0,17.213634961716892,1.8215118262305017,0.8375728625362202,0.6870512719519382,53.88282146453857,53.88282259337352
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,40,23.83559406894648,0.5027454026043415,1202.9564359029134,0.5183167881929193,65.10799499385612,0.9999999870856603,1000.0,0.364512541702706,0.8966565349544073,252294.6290676653,163743.13671875,107.27866754453045,0.0,0.8447030457583341,0.0,0.6727614825748675,0.0,17.700054463881642,0.0,107.27866754453045,0.0,107.27866960623217,0.0,17.700054463881642,1.9033876694817278,0.8447030457583341,0.6727614825748675,54.086328220367434,54.08632925980872
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,41,24.740732419662514,0.5059591544171175,1248.740504837036,0.5082361165727268,65.02290517915556,0.9999999791383744,1000.0,0.3551972639550507,0.8929832642407493,264956.5538617886,157087.35364583333,105.80530672150898,0.0,0.8441511983793926,0.0,0.6629959556270442,0.0,18.199354468721232,0.0,105.80530672150898,0.0,105.80530922604206,0.0,18.199354468721232,1.9769672571080976,0.8441511983793926,0.6629959556270442,54.22521969477336,54.22522097834655
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,42,25.71023361859797,0.509444988767306,1294.0518196105957,0.4988851981617145,64.13035652285717,0.999999984105428,1000.0,0.34578024473319036,0.8953127551853667,281930.51024590165,127632.287890625,105.22723970256868,0.0,0.8320017266468923,0.0,0.659806862763655,0.0,18.67744252570566,0.0,105.22723970256868,0.0,105.22724198597382,0.0,18.67744252570566,2.070869276144927,0.8320017266468923,0.659806862763655,53.490513515472415,53.490514676203354
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,43,26.9250726066597,0.5134141556918621,1331.9604612986248,0.5144429160935351,63.599954428793005,0.9999999781449636,1000.0,0.3610503282275711,0.8944515306122449,245033.97977941178,131367.50924479167,104.36095633626987,0.0,0.824792960611712,0.0,0.653761338134948,0.0,19.159843398423718,0.0,104.36095633626987,0.0,104.36095753294907,0.0,19.159843398423718,2.118539644089146,0.824792960611712,0.653761338134948,51.74564085006714,51.74564144342058
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,44,28.209955606303918,0.5153124881287415,1382.4336856842042,0.49467602146099876,63.29479692899264,0.999999980131785,1000.0,0.3415398643642788,0.896752955259614,269083.2628605769,156738.88828125,102.91659780649039,0.0,0.821630532007951,0.0,0.6454467734484021,0.0,19.70152681826887,0.0,102.91659780649039,0.0,102.9165997817773,0.0,19.70152681826887,2.1764122303596958,0.821630532007951,0.6454467734484021,55.746490478515625,55.7464915484627
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,45,28.209955606303918,0.5178149869044621,1426.4781280517577,0.4890366642703091,63.77618952720396,0.9999999860922496,1000.0,0.33698681032881295,0.8911085639430162,283407.86617943546,123783.11692708333,100.94590611611643,0.0,0.8270880483811901,0.0,0.6324744908472751,0.0,20.246136750981666,0.0,100.94590611611643,0.0,100.94590763888388,0.0,20.246136750981666,2.1833491832060608,0.8270880483811901,0.6324744908472751,52.15538482666015,52.15538561342334
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,46,28.209955606303918,0.5195104054175317,nan,0.5287528706003656,63.226671500827955,nan,1000.0,0.3748172757475083,0.897248290122475,239989.65835597826,nan,99.81940752112347,0.0,0.8205210120781609,0.0,0.6259644954618094,0.0,20.748154726748176,0.0,99.81940752112347,0.0,99.8194092870961,0.0,20.748154726748176,2.2157774820457736,0.8205210120781609,0.6259644954618094,47.83013277053833,47.83013361673354
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,47,28.209955606303918,0.39615165910994016,nan,0.523464620923156,nan,nan,1000.0,0.3660612599652341,0.9183458646616541,nan,nan,nan,0.0,nan,0.0,nan,0.0,21.284189490305153,0.0,nan,0.0,nan,0.0,21.284189490305153,2.328828685732312,nan,nan,nan,nan
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,48,29.296777865595086,0.25135332721595965,nan,0.48078986907061605,nan,nan,1000.0,0.3267211201866978,0.9098294069861901,nan,nan,nan,0.0,nan,0.0,nan,0.0,21.689324634228285,0.0,nan,0.0,nan,0.0,21.689324634228285,2.2948537312335238,nan,nan,nan,nan
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,49,29.296777865595086,0.18671749584997693,nan,0.543747872185205,nan,nan,1000.0,0.38674415386744154,0.9153430489602096,nan,nan,nan,0.0,nan,0.0,nan,0.0,21.85606640272655,0.0,nan,0.0,nan,0.0,21.85606640272655,2.3187015116408114,nan,nan,nan,nan
