algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,trust_honest,trust_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,noise_norm_honest,noise_norm_attacker,n_dp_norm_honest,n_dp_norm_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,35,3.3905161310225242,0.8741811776161194,0.43884289801120757,0.0,1.462780335370232,0.0,1000.0,0.0,0.0,0.8007958250887254,0.0,14.543615902171416,0.0,0.9063390180837693,0.0,0.9063390180837693,0.0,3982.6672714017513,0.0,144.61639314539292,0.0,144.61645732206458,0.0,2.1254984906885888,0.0,2.1254984906885888,1.0491973119239366,0.8007958250887254,0.9063390180837693,4.916959548950195,135.41068722765957
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,36,3.423691953347183,0.8745351775884628,0.43608729815483094,0.0,1.260468602180481,0.0,1000.0,0.0,0.0,0.8090836119193298,0.0,21.644580529286312,0.0,0.8929033673509313,0.0,0.8929033673509313,0.0,4327.40260787841,0.0,142.50723472008337,0.0,142.50732920720026,0.0,2.174912538913226,0.0,2.174912538913226,1.0360251697046192,0.8090836119193298,0.8929033673509313,7.410381118774414,225.0249356096773
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,37,3.4598665789246925,0.8750929782390594,0.4333891757130623,0.0,1.3248733669519424,0.0,1000.0,0.0,0.0,0.8095104411244393,0.0,16.313655483722687,0.0,0.8854711670809315,0.0,0.8854711670809315,0.0,4278.793740170603,0.0,141.1656867980957,0.0,141.16566200256347,0.0,2.2165291872424446,0.0,2.2165291872424446,1.0238047508648296,0.8095104411244393,0.8854711670809315,5.646626480102539,171.15174960682413
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,38,3.4990923174321127,0.8749483791589737,0.4319163407087326,0.0,1.4666823994468998,0.0,1000.0,0.0,0.0,0.7293101734406239,0.0,34.494932483982396,0.0,0.9375922964150526,0.0,0.9375922964150526,0.0,4477.167033977241,0.0,149.71301290151234,0.0,149.71308239086255,0.0,2.244802388852451,0.0,2.244802388852451,1.0248776212788966,0.7293101734406239,0.9375922964150526,11.078768096923827,331.3103605143159
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,39,3.5435593428451133,0.875433178305626,0.4292556990981102,0.0,1.213565345691598,0.0,1000.0,0.0,0.0,0.7527210751305455,0.0,14.23600959777832,0.0,0.9129851335529099,0.0,0.9129851335529099,0.0,4386.72123837975,0.0,145.63996588665506,0.0,145.6399854577106,0.0,2.273789913995472,0.0,2.273789913995472,1.018561276370295,0.7527210751305455,0.9129851335529099,6.699439331054688,201.78917696546853
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,40,3.5867320805399947,0.8756441788673401,0.4276141971349716,0.0,1.4761666754881542,0.0,1000.0,0.0,0.0,0.7715607643127441,0.0,28.373328749338786,0.0,0.8920299680978417,0.0,0.8920299680978417,0.0,4527.914743905339,0.0,142.31319580078124,0.0,142.31320343017578,0.0,2.3084956940969494,0.0,2.3084956940969494,1.012641860620262,0.7715607643127441,0.8920299680978417,8.538792205810546,271.67488463432034
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,41,3.6350805781423463,0.8754385801553726,0.4269113625884056,0.0,1.6126125422683921,0.0,1000.0,0.0,0.0,0.7938343447607916,0.0,44.42010781571672,0.0,0.8688771336729396,0.0,0.8688771336729396,0.0,4403.04275569841,0.0,138.72594864304,0.0,138.725871936695,0.0,2.3545722649664014,0.0,2.3545722649664014,1.0056704230262383,0.7938343447607916,0.8688771336729396,10.26571452331543,325.8251639216823
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,42,3.6863561223750456,0.876002178311348,0.4244445033073425,0.0,1.185983525670093,0.0,1000.0,0.0,0.0,0.7870059220687203,0.0,13.182602509208348,0.0,0.8668335953077356,0.0,0.8668335953077356,0.0,4511.747755248429,0.0,138.15664142111072,0.0,138.15662350861922,0.0,2.3938346546441682,0.0,2.3938346546441682,0.9926755185215875,0.7870059220687203,0.8668335953077356,6.355204681396485,207.54039674142766
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,43,3.7404610307236617,0.8761025786399841,0.423204616189003,0.0,1.4984889277096451,0.0,1000.0,0.0,0.0,0.804191281055582,0.0,28.565137336994038,0.0,0.8477433932735249,0.0,0.8477433932735249,0.0,4248.402580518953,0.0,135.3013434574522,0.0,135.30134398361733,0.0,2.436290798071974,0.0,2.436290798071974,0.9815780681943713,0.804191281055582,0.8477433932735249,7.847477951049805,246.40734967009925
noise-game,scale,mnist,42,500,0,1.1,1.0,0.05,iid,1.0,99999,44,3.7972818085850433,0.8759843775033951,0.42249567472934724,0.0,1.4838046648285605,0.0,1000.0,0.0,0.0,0.8082857420950225,0.0,36.50836826093269,0.0,0.8381089486603572,0.0,0.8381089486603572,0.0,4370.033073360501,0.0,133.7182975537849,0.0,133.71835512103456,0.0,2.4969717949898422,0.0,2.4969717949898422,0.9616118959782283,0.8082857420950225,0.8381089486603572,8.825411437988281,288.42218284179313
