algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,S_agg_norm_honest,S_agg_norm_attacker,D_threshold_honest,D_threshold_attacker,V_agg_norm_honest,V_agg_norm_attacker,n_rejected_honest,n_rejected_attacker,eps_n_honest,eps_n_attacker,eps_avg,eps_std,rho_t,trust_toward_honest,trust_toward_attacker
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,107,2.1618807049804434,0.8812355791330337,0.40075853061676026,0.0,0.01669476591897282,0.0,1000.0,0.0,0.0,1.4337498599832708,0.0,0.05368779041967773,0.0,0.9251803024248644,0.0,2.090909090909091,0.0,2.1618807049804434,0.0,2.1618807049804434,0.0,0.6350000000000001,0.8967699156392769,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,108,2.1846147959676205,0.881192378282547,0.4011269221305847,0.0,0.01625636430538219,0.0,1000.0,0.0,0.0,1.3056254905203115,0.0,0.05522106286381492,0.0,0.8869959426962811,0.0,1.9130434782608696,0.0,2.18461479596762,0.0,2.18461479596762,4.440892098500626e-16,0.6400000000000001,0.8960508387366806,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,109,2.207609621722941,0.8811733778715134,0.4014552000761032,0.0,0.015744650442349285,0.0,1000.0,0.0,0.0,0.968376741597527,0.0,0.048899975551316165,0.0,0.782699947294436,0.0,3.3157894736842106,0.0,2.207609621722941,0.0,2.207609621722941,0.0,0.645,0.8941522200678116,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,110,2.230254520226988,0.8811783785820008,0.4017831376791,0.0,0.01564995138323866,0.0,1000.0,0.0,0.0,1.0103927329182625,0.0,0.048198263149525966,0.0,0.7836362766101956,0.0,3.5,0.0,2.230254520226989,0.0,2.230254520226989,8.881784197001252e-16,0.65,0.8926180560121051,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,111,2.2480422249768144,0.8811701785326004,0.4020952128767967,0.0,0.015669634602963924,0.0,1000.0,0.0,0.0,1.2543451642990113,0.0,0.048603882257513886,0.0,0.8538915491104127,0.0,2.24,0.0,2.2480422249768144,0.0,2.2480422249768144,0.0,0.6550000000000001,0.891832164726385,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,112,2.2660173929533354,0.8811769757270813,0.4023412185907364,0.0,0.016345828771591187,0.0,1000.0,0.0,0.0,1.3511945775577001,0.0,0.04134357287764765,0.0,0.7620825895241329,0.0,2.761904761904762,0.0,2.2660173929533363,0.0,2.2660173929533363,8.881784197001252e-16,0.6600000000000001,0.8911748095494612,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,113,2.284181180150246,0.8811645777225494,0.4027327462434769,0.0,0.015429910526356914,0.0,1000.0,0.0,0.0,0.9469300111134847,0.0,0.04444694284405566,0.0,0.7345914100155686,0.0,3.3333333333333335,0.0,2.2841811801502456,0.0,2.2841811801502456,4.440892098500626e-16,0.665,0.8898031912078379,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,114,2.302534756086542,0.8811301772594452,0.40314844566583635,0.0,0.015277940201862105,0.0,1000.0,0.0,0.0,0.9472530566412827,0.0,0.044327019116099,0.0,0.776804641403001,0.0,3.1724137931034484,0.0,2.302534756086542,0.0,2.302534756086542,0.0,0.67,0.8885399529541755,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,115,2.321079304067395,0.8811165776252746,0.4034502469301224,0.0,0.015470155548038227,0.0,1000.0,0.0,0.0,0.8075526101248605,0.0,0.039428051772207665,0.0,0.6702779627272061,0.0,2.5,0.0,2.3210793040673954,0.0,2.3210793040673954,4.440892098500626e-16,0.675,0.8874474398419645,0.0
trust-aware,scale,mnist,42,500,0,1.1,2.0,0.05,iid,1.0,99999,116,2.339816021452159,0.8810997775793076,0.40389345306158064,0.0,0.015769641310202354,0.0,1000.0,0.0,0.0,0.9168749975435662,0.0,0.041856975534660716,0.0,0.7258456593210046,0.0,3.9393939393939394,0.0,2.3398160214521586,0.0,2.3398160214521586,4.440892098500626e-16,0.6800000000000002,0.8860218874585923,0.0
