algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,krum_score_honest,krum_score_attacker,sigma_n_honest,sigma_n_attacker,sigma_dp_honest,sigma_dp_attacker,nsr_honest,nsr_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,36,17.99071185582791,0.4832579045246045,1410.625594329834,0.5461810358075919,81.01108583111629,0.9999999731779099,1000.0,0.3924469964664311,0.8979282465891865,252.7925345162365,0.0,14.395149036623785,0.0,349860.63040303736,188300.203125,1.585810885759188,0.0,1.585810885759188,0.0,252.7925389435196,0.0,252.7925345162365,0.0,0.8585759150647672,0.0,14.395149036623785,1.4858577296921878,0.8585759150647672,1.585810885759188,112.70333830515544,112.70334027898583
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,37,18.222043849533435,0.48719040416181086,1462.0397986094156,0.5297334581465242,81.11051021303449,0.999999980131785,1000.0,0.37615449202350965,0.8952539550374687,250.40095179421562,0.0,14.665740539784013,0.0,407800.83147321426,185159.30520833333,1.5691853665403646,0.0,1.5691853665403646,0.0,250.40095679726005,0.0,250.40095179421562,0.0,0.8591001523392541,0.0,14.665740539784013,1.5034148873833737,0.8591001523392541,1.5691853665403646,116.85377750396728,116.85377983872135
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,38,18.796562900863133,0.4880391544351975,1550.5575047810873,0.46551659619054747,80.1112287816867,0.9999999821186065,1000.0,0.3146499392958316,0.8943206326383897,250.4177138637489,0.0,15.006350328977373,0.0,446600.1789172535,290991.7515625,1.5694996296261887,0.0,1.5694996296261887,0.0,250.41771882825427,0.0,250.4177138637489,0.0,0.8473090930304057,0.0,15.006350328977373,1.531709536082936,0.8473090930304057,1.5694996296261887,148.16381403605143,148.16381697338377
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,39,19.132447144156362,0.49243707234660783,1604.463374964396,0.5155262179248791,79.71985901008217,0.999999984105428,1000.0,0.3619687969188589,0.8953657355078314,248.62262609449485,0.0,15.292240876166463,0.0,369309.09666313557,200454.00651041666,1.5586830548845634,0.0,1.5586830548845634,0.0,248.6226300943306,0.0,248.62262609449485,0.0,0.8436539281727904,0.0,15.292240876166463,1.566529566678574,0.8436539281727904,1.5586830548845634,122.2394578297933,122.23945979637922
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,40,19.62353443272197,0.49592415342728297,1666.1961970011394,0.5182517021743905,80.37899625793962,0.9999999791383744,1000.0,0.3644732777262898,0.8965045592705168,244.5530794001808,0.0,15.590432160485957,0.0,382481.31482438016,249053.02682291667,1.5336208459502954,0.0,1.5336208459502954,0.0,244.5530839178096,0.0,244.5530794001808,0.0,0.8507172706698584,0.0,15.590432160485957,1.5858391835391648,0.8507172706698584,1.5336208459502954,123.2955108642578,123.29551314189568
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,41,20.10225201375082,0.4995174874862035,1733.9869801839193,0.5083235024249574,80.57284021765236,0.9999999870856603,1000.0,0.3552583363869549,0.8931368033164441,241.80327587592893,0.0,15.895581222689543,0.0,396046.3324441057,240439.97838541667,1.5151711878794505,0.0,1.5151711878794505,0.0,241.80327922575648,0.0,241.80327587592893,0.0,0.8530337752365484,0.0,15.895581222689543,1.622058475351868,0.8530337752365484,1.5151711878794505,123.92417888641357,123.92418060320018
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,42,20.587079704436167,0.5035379029810428,1801.9544427235921,0.4990673763705017,78.98651435726978,0.9999999920527141,1000.0,0.345882204565519,0.8958027110893353,242.87583197922004,0.0,16.191362403316983,0.0,431963.457607582,197842.70104166667,1.5229039109756948,0.0,1.5229039109756948,0.0,242.87583884005733,0.0,242.87583197922004,0.0,0.8354922347381467,0.0,16.191362403316983,1.6804114148885645,0.8354922347381467,1.5229039109756948,123.46188125610351,123.46188474369582
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,43,21.107867198101502,0.5074591534833114,1859.4103651682535,0.5144665046540419,78.5326380689605,0.9999999811251958,1000.0,0.3610735663255455,0.8944515306122449,241.7364762250115,0.0,16.47982909337667,0.0,365728.4042804622,198834.87942708333,1.5143485711530251,0.0,1.5143485711530251,0.0,241.73648289483373,0.0,241.7364762250115,0.0,0.8302950758893951,0.0,16.47982909337667,1.7070891627482119,0.8302950758893951,1.5143485711530251,119.86100279490152,119.86100610202169
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,44,21.625674753654174,0.50974956912299,1933.8101857503254,0.4946351931330472,78.43700910714956,0.999999984105428,1000.0,0.3415009402245142,0.896752955259614,239.09986971341647,0.0,16.798509562219934,0.0,412282.3771634615,242985.73515625,1.499529048781035,0.0,1.499529048781035,0.0,239.0998738219724,0.0,239.09986971341647,0.0,0.8299986623800718,0.0,16.798509562219934,1.7208440829163891,0.8299986623800718,1.499529048781035,129.51242942810057,129.5124316535684
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,45,21.625674753654174,0.512347069879373,1998.8901761372883,0.4890366642703091,78.60790049645209,0.9999999970197677,1000.0,0.33698681032881295,0.8911085639430162,236.72084254603232,0.0,17.103592398099984,0.0,427050.16393649194,189380.27213541666,1.4831820162259208,0.0,1.4831820162259208,0.0,236.72084679790825,0.0,236.72084254603232,0.0,0.831018348855357,0.0,17.103592398099984,1.7142470885094263,0.831018348855357,1.4831820162259208,122.30576864878337,122.30577084558594
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,46,21.73122630639949,0.5143654035093884,nan,0.5289844884952435,77.61909269249958,nan,1000.0,0.3749667818230136,0.8977254652457451,236.17390455163044,0.0,17.38359369824546,0.0,357008.9921195652,nan,1.4810276203707855,0.0,1.4810276203707855,0.0,236.17390796056878,0.0,236.17390455163044,0.0,0.8208772089170373,0.0,17.38359369824546,1.7302280327928694,0.8208772089170373,1.4810276203707855,113.16666259765626,113.16666423110588
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,47,21.73122630639949,0.4174087394028902,nan,0.5216234769177964,nan,nan,1000.0,0.36492976347700806,0.9141353383458647,nan,0.0,17.67787643100041,0.0,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,17.67787643100041,1.7418259237392106,nan,nan,nan,nan
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,48,22.121389210498528,0.302524992544204,nan,0.4810170073870469,nan,nan,1000.0,0.3269309358398038,0.9098294069861901,nan,0.0,17.923595932510512,0.0,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,17.923595932510512,1.7033191190052117,nan,nan,nan,nan
noise-game,scale,mnist,42,300,60,1.1,1.0,0.5,iid,1.0,20,49,22.148867077589188,0.21378374490886926,nan,0.543747872185205,nan,nan,1000.0,0.38674415386744154,0.9153430489602096,nan,0.0,18.04359288906036,0.0,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,18.04359288906036,1.701220772330051,nan,nan,nan,nan
