2026-05-01 17:14:21 | DEBUG   | dpfl.core.base_simulator | Update norms — honest: ['2.89', '2.92', '5.02', '2.91', '2.89'], attacker: []
2026-05-01 17:14:23 | WARNING | dpfl.algorithms.noise_game.simulator | Node 1 round 11: NSR=3267.06 exceeds 2000.0
2026-05-01 17:14:23 | WARNING | dpfl.algorithms.noise_game.simulator | Node 3 round 11: NSR=3098.71 exceeds 2000.0
2026-05-01 17:14:23 | WARNING | dpfl.algorithms.noise_game.simulator | Node 12 round 11: NSR=3432.76 exceeds 2000.0
2026-05-01 17:14:23 | WARNING | dpfl.algorithms.noise_game.simulator | Node 30 round 11: NSR=3282.91 exceeds 2000.0
2026-05-01 17:14:23 | WARNING | dpfl.algorithms.noise_game.simulator | Node 39 round 11: NSR=3372.74 exceeds 2000.0
2026-05-01 17:14:23 | WARNING | dpfl.algorithms.noise_game.simulator | Node 46 round 11: NSR=3179.82 exceeds 2000.0
2026-05-01 17:14:23 | WARNING | dpfl.algorithms.noise_game.simulator | Node 48 round 11: NSR=3281.63 exceeds 2000.0
2026-05-01 17:14:23 | WARNING | dpfl.algorithms.noise_game.simulator | Node 57 round 11: NSR=3361.74 exceeds 2000.0
2026-05-01 17:14:23 | WARNING | dpfl.algorithms.noise_game.simulator | Node 102 round 11: NSR=3159.06 exceeds 2000.0
2026-05-01 17:14:23 | WARNING | dpfl.algorithms.noise_game.simulator | Node 105 round 11: NSR=3133.60 exceeds 2000.0
2026-05-01 17:14:23 | WARNING | dpfl.algorithms.noise_game.simulator | Node 151 round 11: NSR=4421.61 exceeds 2000.0
2026-05-01 17:14:23 | WARNING | dpfl.algorithms.noise_game.simulator | Node 175 round 11: NSR=3355.29 exceeds 2000.0
2026-05-01 17:14:23 | WARNING | dpfl.algorithms.noise_game.simulator | Node 193 round 11: NSR=3313.02 exceeds 2000.0
2026-05-01 17:14:23 | WARNING | dpfl.algorithms.noise_game.simulator | Node 219 round 11: NSR=3212.40 exceeds 2000.0
2026-05-01 17:14:23 | WARNING | dpfl.algorithms.noise_game.simulator | Node 228 round 11: NSR=3279.14 exceeds 2000.0
2026-05-01 17:14:23 | WARNING | dpfl.algorithms.noise_game.simulator | Node 248 round 11: NSR=3469.87 exceeds 2000.0
2026-05-01 17:14:23 | WARNING | dpfl.algorithms.noise_game.simulator | Node 258 round 11: NSR=3176.71 exceeds 2000.0
2026-05-01 17:14:25 | INFO    | dpfl.core.base_simulator | Round  12/50 | Acc: 0.8663 | Loss: 0.5013 | eps_max: 1.53 eps_avg: 0.64 | P: 0.00 R: 0.00 F1: 0.00
2026-05-01 17:14:25 | DEBUG   | dpfl.core.base_simulator | Update norms — honest: ['2.85', '3.72', '4.85', '2.87', '7.33'], attacker: []
2026-05-01 17:14:26 | WARNING | dpfl.algorithms.noise_game.simulator | Node 28 round 12: NSR=3531.07 exceeds 2000.0
2026-05-01 17:14:26 | WARNING | dpfl.algorithms.noise_game.simulator | Node 29 round 12: NSR=3492.89 exceeds 2000.0
2026-05-01 17:14:26 | WARNING | dpfl.algorithms.noise_game.simulator | Node 68 round 12: NSR=3046.12 exceeds 2000.0
2026-05-01 17:14:26 | WARNING | dpfl.algorithms.noise_game.simulator | Node 90 round 12: NSR=3855.39 exceeds 2000.0
2026-05-01 17:14:26 | WARNING | dpfl.algorithms.noise_game.simulator | Node 99 round 12: NSR=3329.09 exceeds 2000.0
2026-05-01 17:14:26 | WARNING | dpfl.algorithms.noise_game.simulator | Node 101 round 12: NSR=3542.29 exceeds 2000.0
2026-05-01 17:14:26 | WARNING | dpfl.algorithms.noise_game.simulator | Node 191 round 12: NSR=3591.68 exceeds 2000.0
2026-05-01 17:14:26 | WARNING | dpfl.algorithms.noise_game.simulator | Node 224 round 12: NSR=3443.68 exceeds 2000.0
2026-05-01 17:14:26 | WARNING | dpfl.algorithms.noise_game.simulator | Node 229 round 12: NSR=4391.18 exceeds 2000.0
2026-05-01 17:14:26 | WARNING | dpfl.algorithms.noise_game.simulator | Node 286 round 12: NSR=3498.12 exceeds 2000.0
2026-05-01 17:14:28 | INFO    | dpfl.core.base_simulator | Round  13/50 | Acc: 0.8694 | Loss: 0.4832 | eps_max: 1.56 eps_avg: 0.67 | P: 0.00 R: 0.00 F1: 0.00
2026-05-01 17:14:28 | DEBUG   | dpfl.core.base_simulator | Update norms — honest: ['6.79', '2.82', '5.40', '7.19', '4.99'], attacker: []
2026-05-01 17:14:30 | WARNING | dpfl.algorithms.noise_game.simulator | Node 50 round 13: NSR=4363.59 exceeds 2000.0
2026-05-01 17:14:30 | WARNING | dpfl.algorithms.noise_game.simulator | Node 80 round 13: NSR=3995.73 exceeds 2000.0
2026-05-01 17:14:30 | WARNING | dpfl.algorithms.noise_game.simulator | Node 82 round 13: NSR=3598.13 exceeds 2000.0
2026-05-01 17:14:30 | WARNING | dpfl.algorithms.noise_game.simulator | Node 92 round 13: NSR=3652.83 exceeds 2000.0
2026-05-01 17:14:30 | WARNING | dpfl.algorithms.noise_game.simulator | Node 145 round 13: NSR=3890.83 exceeds 2000.0
2026-05-01 17:14:30 | WARNING | dpfl.algorithms.noise_game.simulator | Node 153 round 13: NSR=3669.16 exceeds 2000.0
2026-05-01 17:14:30 | WARNING | dpfl.algorithms.noise_game.simulator | Node 159 round 13: NSR=4697.86 exceeds 2000.0
2026-05-01 17:14:30 | WARNING | dpfl.algorithms.noise_game.simulator | Node 163 round 13: NSR=3590.26 exceeds 2000.0
2026-05-01 17:14:30 | WARNING | dpfl.algorithms.noise_game.simulator | Node 166 round 13: NSR=3546.19 exceeds 2000.0
2026-05-01 17:14:30 | WARNING | dpfl.algorithms.noise_game.simulator | Node 170 round 13: NSR=4527.70 exceeds 2000.0
2026-05-01 17:14:30 | WARNING | dpfl.algorithms.noise_game.simulator | Node 219 round 13: NSR=3786.64 exceeds 2000.0
2026-05-01 17:14:31 | WARNING | dpfl.algorithms.noise_game.simulator | Node 221 round 13: NSR=5009.07 exceeds 2000.0
2026-05-01 17:14:31 | WARNING | dpfl.algorithms.noise_game.simulator | Node 239 round 13: NSR=3899.96 exceeds 2000.0
2026-05-01 17:14:31 | WARNING | dpfl.algorithms.noise_game.simulator | Node 240 round 13: NSR=3624.36 exceeds 2000.0
2026-05-01 17:14:31 | WARNING | dpfl.algorithms.noise_game.simulator | Node 244 round 13: NSR=3863.51 exceeds 2000.0
2026-05-01 17:14:31 | WARNING | dpfl.algorithms.noise_game.simulator | Node 286 round 13: NSR=3723.98 exceeds 2000.0
2026-05-01 17:14:33 | INFO    | dpfl.core.base_simulator | Round  14/50 | Acc: 0.8712 | Loss: 0.4757 | eps_max: 1.64 eps_avg: 0.70 | P: 0.00 R: 0.00 F1: 0.00
2026-05-01 17:14:33 | DEBUG   | dpfl.core.base_simulator | Update norms — honest: ['4.39', '4.84', '2.79', '2.81', '4.85'], attacker: []
2026-05-01 17:14:35 | WARNING | dpfl.algorithms.noise_game.simulator | Node 17 round 14: NSR=5064.87 exceeds 2000.0
2026-05-01 17:14:35 | WARNING | dpfl.algorithms.noise_game.simulator | Node 37 round 14: NSR=3938.34 exceeds 2000.0
2026-05-01 17:14:35 | WARNING | dpfl.algorithms.noise_game.simulator | Node 68 round 14: NSR=2127.49 exceeds 2000.0
2026-05-01 17:14:35 | WARNING | dpfl.algorithms.noise_game.simulator | Node 73 round 14: NSR=3934.29 exceeds 2000.0
2026-05-01 17:14:36 | WARNING | dpfl.algorithms.noise_game.simulator | Node 119 round 14: NSR=3768.23 exceeds 2000.0
2026-05-01 17:14:36 | WARNING | dpfl.algorithms.noise_game.simulator | Node 161 round 14: NSR=4336.96 exceeds 2000.0
2026-05-01 17:14:36 | WARNING | dpfl.algorithms.noise_game.simulator | Node 172 round 14: NSR=3782.98 exceeds 2000.0
2026-05-01 17:14:36 | WARNING | dpfl.algorithms.noise_game.simulator | Node 262 round 14: NSR=3599.51 exceeds 2000.0
2026-05-01 17:14:36 | WARNING | dpfl.algorithms.noise_game.simulator | Node 280 round 14: NSR=4266.20 exceeds 2000.0
2026-05-01 17:14:38 | INFO    | dpfl.core.base_simulator | Round  15/50 | Acc: 0.8736 | Loss: 0.4602 | eps_max: 1.64 eps_avg: 0.73 | P: 0.00 R: 0.00 F1: 0.00
2026-05-01 17:14:38 | DEBUG   | dpfl.core.base_simulator | Update norms — honest: ['3.83', '2.79', '8.36', '2.78', '2.76'], attacker: []
2026-05-01 17:14:40 | WARNING | dpfl.algorithms.noise_game.simulator | Node 16 round 15: NSR=5363.73 exceeds 2000.0
2026-05-01 17:14:40 | WARNING | dpfl.algorithms.noise_game.simulator | Node 30 round 15: NSR=4180.56 exceeds 2000.0
2026-05-01 17:14:40 | WARNING | dpfl.algorithms.noise_game.simulator | Node 39 round 15: NSR=3224.54 exceeds 2000.0
2026-05-01 17:14:40 | WARNING | dpfl.algorithms.noise_game.simulator | Node 80 round 15: NSR=3625.32 exceeds 2000.0
2026-05-01 17:14:40 | WARNING | dpfl.algorithms.noise_game.simulator | Node 83 round 15: NSR=4050.43 exceeds 2000.0
2026-05-01 17:14:40 | WARNING | dpfl.algorithms.noise_game.simulator | Node 96 round 15: NSR=4088.70 exceeds 2000.0
2026-05-01 17:14:40 | WARNING | dpfl.algorithms.noise_game.simulator | Node 109 round 15: NSR=4101.36 exceeds 2000.0
2026-05-01 17:14:40 | WARNING | dpfl.algorithms.noise_game.simulator | Node 118 round 15: NSR=4046.48 exceeds 2000.0
2026-05-01 17:14:40 | WARNING | dpfl.algorithms.noise_game.simulator | Node 182 round 15: NSR=6165.29 exceeds 2000.0
2026-05-01 17:14:40 | WARNING | dpfl.algorithms.noise_game.simulator | Node 222 round 15: NSR=4016.55 exceeds 2000.0
2026-05-01 17:14:40 | WARNING | dpfl.algorithms.noise_game.simulator | Node 224 round 15: NSR=4071.64 exceeds 2000.0
2026-05-01 17:14:40 | WARNING | dpfl.algorithms.noise_game.simulator | Node 229 round 15: NSR=4006.98 exceeds 2000.0
2026-05-01 17:14:41 | WARNING | dpfl.algorithms.noise_game.simulator | Node 241 round 15: NSR=3928.85 exceeds 2000.0
2026-05-01 17:14:41 | WARNING | dpfl.algorithms.noise_game.simulator | Node 269 round 15: NSR=4238.60 exceeds 2000.0
2026-05-01 17:14:41 | WARNING | dpfl.algorithms.noise_game.simulator | Node 280 round 15: NSR=2474.24 exceeds 2000.0
2026-05-01 17:14:41 | WARNING | dpfl.algorithms.noise_game.simulator | Node 289 round 15: NSR=4343.33 exceeds 2000.0
2026-05-01 17:14:43 | INFO    | dpfl.core.base_simulator | Round  16/50 | Acc: 0.8740 | Loss: 0.4532 | eps_max: 1.70 eps_avg: 0.76 | P: 0.00 R: 0.00 F1: 0.00
2026-05-01 17:14:43 | DEBUG   | dpfl.core.base_simulator | Update norms — honest: ['3.79', '4.96', '8.49', '6.35', '2.76'], attacker: []
2026-05-01 17:14:45 | WARNING | dpfl.algorithms.noise_game.simulator | Node 7 round 16: NSR=4513.14 exceeds 2000.0
