algorithm,attack_type,dataset,seed,n_nodes,n_attackers,noise_mult,clip_bound,sampling_rate,split_mode,dirichlet_alpha,start_round,round,epsilon,accuracy,test_loss,f1_score,mean_update_norm_honest,mean_update_norm_attacker,best_alpha,precision,recall,krum_score_honest,krum_score_attacker,noise_norm_honest,noise_norm_attacker,eps_n_honest,eps_n_attacker,sigma_dp_honest,sigma_dp_attacker,sigma_n_honest,sigma_n_attacker,n_dp_norm_honest,n_dp_norm_attacker,trust_honest,trust_attacker,nsr_honest,nsr_attacker,eps_avg,eps_std,avg_trust,avg_sigma_dp_precap,avg_n_dp_norm_postcap,avg_nsr
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,20,5.215897266769848,0.864113979836305,0.46584141165018084,0.0,4.1958815574646,0.0,1000.0,0.0,0.0,284.3740432739258,0.0,171.49613342285156,0.0,2.8752156258416903,0.0,1.0757537433474282,0.0,1.0757537433474282,0.0,171.49613342285156,0.0,0.8120966215928396,0.0,2537.2000042407044,0.0,2.8752156258416903,1.3766236442935127,0.8120966215928396,1.0757537433474282,17.149613342285157,253.72000042407055
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,21,5.333996653155695,0.8647976445158323,0.4651631733775139,0.0,4.053627984864371,0.0,1000.0,0.0,0.0,249.28151375906808,0.0,168.23071452549524,0.0,3.037052159927463,0.0,1.0540455640447994,0.0,1.0540455640447994,0.0,168.23071452549524,0.0,0.786447249352932,0.0,2549.132896894376,0.0,3.037052159927463,1.3640952034985896,0.786447249352932,1.0540455640447994,15.70153335571289,237.91907037680843
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,22,5.617268111563542,0.8642596447467804,0.4708625437815984,0.0,4.436279045210944,0.0,1000.0,0.0,0.0,259.2609292489511,0.0,162.0159058747468,0.0,3.150691764528297,0.0,1.0149397834648788,0.0,1.0149397834648788,0.0,162.0159058747468,0.0,0.7786910147578628,0.0,2458.3590982959868,0.0,3.150691764528297,1.3985261485342229,0.7786910147578628,1.0149397834648788,14.581431528727213,221.25231884663876
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,23,6.008729614023095,0.8634146464864413,0.473715976079305,0.0,5.309596051340518,0.0,1000.0,0.0,0.0,373.0413765285326,0.0,152.49575507122537,0.0,3.2710851549291466,0.0,0.9538271104489817,0.0,0.9538271104489817,0.0,152.49575507122537,0.0,0.7955280153647714,0.0,2293.264608184726,0.0,3.2710851549291466,1.439318529384071,0.7955280153647714,0.9538271104489817,11.691341222127278,175.8169532941623
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,24,6.880735911839236,0.8606296433011691,0.4887838419278463,0.0,5.068830758333206,0.0,1000.0,0.0,0.0,423.97579765319824,0.0,147.00687766075134,0.0,3.4482532411218534,0.0,0.9216909609318413,0.0,0.9216909609318413,0.0,147.00687766075134,0.0,0.7701604552567005,0.0,2237.2130601715244,0.0,3.4482532411218534,1.5051695939941498,0.7701604552567005,0.9216909609318413,15.68073361714681,238.63605975162926
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,25,6.880735911839236,0.8642559779683748,0.4711679973204931,0.0,3.409671495358149,0.0,1000.0,0.0,0.0,167.94037628173828,0.0,135.6093454360962,0.0,3.6701313349682323,0.0,0.8517465720458189,0.0,0.8517465720458189,0.0,135.6093454360962,0.0,0.7923842134575049,0.0,2280.0653073780363,0.0,3.6701313349682323,1.5189157328541978,0.7923842134575049,0.8517465720458189,10.848747634887696,182.40522459024288
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,26,7.020085620353753,0.8626016445954641,0.475979541738828,0.0,4.5076903242331285,0.0,1000.0,0.0,0.0,288.2519061748798,0.0,126.99772849449745,0.0,3.867061946062601,0.0,0.7957699682586132,0.0,0.7957699682586132,0.0,126.99772849449745,0.0,0.7865318208932877,0.0,2095.483225268534,0.0,3.867061946062601,1.599481709642802,0.7865318208932877,0.7957699682586132,11.006469802856445,181.6085461899396
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,27,7.984918735813167,0.860234312514464,0.4881586330135663,0.0,4.690569136291742,0.0,1000.0,0.0,0.0,360.63546323776245,0.0,121.16828322410583,0.0,4.161712644651823,0.0,0.7598865911733264,0.0,0.7598865911733264,0.0,121.16828322410583,0.0,0.7357065305113792,0.0,1990.7615992565752,0.0,4.161712644651823,1.6952661342584403,0.7357065305113792,0.7598865911733264,12.924616877237955,212.34790392070136
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,28,9.39734130434337,0.8596119790275891,0.49607128808895745,0.0,4.561947575121215,0.0,1000.0,0.0,0.0,376.7414421312737,0.0,107.2171358050722,0.0,4.471851999358538,0.0,0.6725598352522357,0.0,0.6725598352522357,0.0,107.2171358050722,0.0,0.7607173549406456,0.0,1889.8929314305833,0.0,4.471851999358538,1.9352239699578917,0.7607173549406456,0.6725598352522357,11.793884938557943,207.88822245736418
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,29,10.67225355468796,0.8590019802252452,0.4947881338993708,0.0,4.625474579632282,0.0,1000.0,0.0,0.0,375.65050411224365,0.0,94.67859101295471,0.0,4.911702821851127,0.0,0.5933176361276291,0.0,0.5933176361276291,0.0,94.67854356765747,0.0,0.7406558329239488,0.0,1693.5760991290226,0.0,4.911702821851127,2.2578421395614634,0.7406558329239488,0.5933176361276291,10.099044647216797,180.6481172404291
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,30,14.086110334315144,0.8575836437940597,0.49824631442626316,0.0,4.445039745923635,0.0,1000.0,0.0,0.0,407.39292866474875,0.0,77.51823734592747,0.0,5.675913198594481,0.0,0.485938925607042,0.0,0.485938925607042,0.0,77.51814115369642,0.0,0.7287960165255779,0.0,1421.6303478028126,0.0,5.675913198594481,2.953141860026426,0.7287960165255779,0.485938925607042,9.560570742289226,175.3344095623469
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,31,21.70692051662742,0.8568483117222786,0.5084056494633357,0.0,5.214204201698303,0.0,1000.0,0.0,0.0,335.65825317382814,0.0,52.51770599365234,0.0,6.695474698777873,0.0,0.32916876721862404,0.0,0.32916876721862404,0.0,52.517825775146484,0.0,0.705191410779953,0.0,891.4646252751998,0.0,6.695474698777873,4.509819857456424,0.705191410779953,0.32916876721862404,4.376485481262207,74.28871877293331
noise-game,scale,mnist,42,300,0,1.1,1.0,0.1,iid,1.0,99999,32,54.37718159855369,0.8553723120689392,0.5146585575739543,0.0,4.511193319327301,0.0,1000.0,0.0,0.0,413.9706098768446,0.0,23.905839973025852,0.0,12.276075945890968,0.0,0.14976060755652912,0.0,0.14976060755652912,0.0,23.905748897128635,0.0,0.768836899764008,0.0,444.35541716595276,0.0,12.276075945890968,15.281912458154078,0.768836899764008,0.14976060755652912,2.868689867655436,53.32265005991432
